"","ALTERNATIVE","TIME"
"380","cloud","72.204788"
"381","cloud","79.4284"
"382","cloud","69.085146"
"383","cloud","67.753941"
"384","cloud","69.671499"
"385","cloud","69.097598"
"386","cloud","69.626265"
"387","cloud","71.630718"
"388","cloud","69.44588"
"389","cloud","65.922694"
"390","cloud","72.523447"
"391","cloud","657.760592"
"392","cloud","70.035892"
"393","cloud","67.34746"
"394","cloud","69.199775"
"395","cloud","69.863791"
"396","cloud","67.210412"
"397","cloud","64.914273"
"398","cloud","69.003189"
"399","cloud","67.120636"
"400","cloud","78.665485"
"401","cloud","70.56428"
"402","cloud","75.212951"
"403","cloud","71.642172"
"404","cloud","71.370259"
"405","cloud","72.685419"
"406","cloud","67.593067"
"407","cloud","71.89496"
"408","cloud","66.88241"
"409","cloud","74.084336"
"410","cloud","70.019867"
"411","cloud","68.071587"
"412","cloud","70.235328"
"413","cloud","99.133181"
"414","cloud","90.156885"
"415","cloud","117.015054"
"416","cloud","81.353392"
"417","cloud","115.715843"
"418","cloud","120.966682"
"419","cloud","109.078004"
"420","cloud","68.146481"
"421","cloud","67.365201"
"422","cloud","92.523588"
"423","cloud","82.134185"
"424","cloud","67.553978"
"425","cloud","69.56307"
"426","cloud","69.530832"
"427","cloud","68.07787"
"428","cloud","77.362728"
"429","cloud","69.975594"
"430","cloud","75.374348"
"431","cloud","68.003043"
"432","cloud","73.368875"
"433","cloud","67.634315"
"434","cloud","69.847344"
"435","cloud","72.890737"
"436","cloud","66.78894"
"437","cloud","72.598503"
"438","cloud","69.812671"
"439","cloud","70.501324"
"440","cloud","66.805407"
"441","cloud","72.848924"
"442","cloud","69.846293"
"443","cloud","70.240181"
"444","cloud","67.860014"
"445","cloud","73.144714"
"446","cloud","67.825145"
"447","cloud","73.262134"
"448","cloud","70.000534"
"449","cloud","67.269535"
"450","cloud","72.358052"
"451","cloud","73.322804"
"452","cloud","90.068691"
"453","cloud","72.373613"
"454","cloud","69.234901"
"455","cloud","67.665453"
"456","cloud","83.118203"
"457","cloud","75.076447"
"458","cloud","72.286441"
"459","cloud","72.192871"
"460","cloud","75.463212"
"461","cloud","69.442487"
"462","cloud","68.766069"
"463","cloud","99.263215"
"464","cloud","75.368782"
"465","cloud","73.10562"
"466","cloud","80.888497"
"467","cloud","74.611716"
"468","cloud","67.432338"
"469","cloud","81.349333"
"470","cloud","67.366941"
"471","cloud","69.447592"
"472","cloud","72.639782"
"473","cloud","68.351868"
"474","cloud","70.795338"
"475","cloud","70.067648"
"476","cloud","71.54095"
"477","cloud","74.02481"
"478","cloud","73.946139"
"479","cloud","72.828088"
"480","cloud","66.521346"
"481","cloud","68.6201"
"482","cloud","68.229893"
"483","cloud","66.777943"
"484","cloud","68.399532"
"485","cloud","75.403981"
"486","cloud","66.766813"
"487","cloud","72.943578"
"488","cloud","69.441669"
"489","cloud","68.846011"
"490","cloud","66.922987"
"491","cloud","270.3419"
"492","cloud","72.420477"
"493","cloud","67.071873"
"494","cloud","77.074347"
"495","cloud","78.072972"
"496","cloud","67.901432"
"497","cloud","67.956687"
"498","cloud","78.776024"
"499","cloud","68.762334"
"500","cloud","94.700744"
"501","cloud","81.279599"
"502","cloud","75.519318"
"503","cloud","71.953035"
"504","cloud","187.516285"
"505","cloud","67.596307"
"506","cloud","74.772267"
"507","cloud","73.637708"
"508","cloud","76.262364"
"509","cloud","69.570204"
"510","cloud","73.133006"
"511","cloud","71.031973"
"512","cloud","69.227265"
"513","cloud","67.829409"
"514","cloud","103.700856"
"515","cloud","97.82448"
"516","cloud","83.576942"
"517","cloud","125.176267"
"518","cloud","70.462395"
"519","cloud","88.725502"
"520","cloud","72.500844"
"521","cloud","70.684497"
"522","cloud","72.745129"
"523","cloud","74.997276"
"524","cloud","68.777856"
"525","cloud","74.587667"
"526","cloud","79.053453"
"527","cloud","69.560924"
"528","cloud","70.517115"
"529","cloud","69.80257"
"530","cloud","72.024742"
"531","cloud","70.202186"
"532","cloud","70.270373"
"533","cloud","68.109423"
"534","cloud","73.01598"
"535","cloud","75.183823"
"536","cloud","67.84239"
"537","cloud","69.360586"
"538","cloud","78.491027"
"539","cloud","69.696759"
"540","cloud","68.940605"
"541","cloud","67.93089"
"542","cloud","72.553299"
"543","cloud","67.11566"
"544","cloud","67.487204"
"545","cloud","75.526733"
"546","cloud","69.105612"
"547","cloud","69.478491"
"548","cloud","71.398648"
"549","cloud","70.250772"
"550","cloud","75.741953"
"551","cloud","66.458762"
"552","cloud","70.112786"
"553","cloud","69.976046"
"554","cloud","68.135483"
"555","cloud","112.401505"
"556","cloud","128.665463"
"557","cloud","68.652856"
"558","cloud","70.090222"
"559","cloud","73.73524"
"560","cloud","70.658186"
"561","cloud","71.295671"
"562","cloud","66.811652"
"563","cloud","67.805361"
"564","cloud","72.670505"
"565","cloud","66.603375"
"566","cloud","72.114354"
"567","cloud","75.783496"
"568","cloud","70.956432"
"569","cloud","74.943858"
"570","cloud","67.80815"
"571","cloud","72.696033"
"572","cloud","72.313565"
"573","cloud","75.051411"
"574","cloud","89.151778"
"575","cloud","69.784193"
"576","cloud","76.802028"
"577","cloud","66.620838"
"578","cloud","73.24023"
"579","cloud","71.09263"
"580","cloud","93.764315"
"581","cloud","76.597592"
"582","cloud","73.670907"
"583","cloud","76.456182"
"584","cloud","69.246873"
"585","cloud","71.396653"
"586","cloud","73.220598"
"587","cloud","69.262634"
"588","cloud","76.375719"
"589","cloud","74.706995"
"590","cloud","66.752877"
"591","cloud","72.769084"
"592","cloud","67.225206"
"593","cloud","69.975194"
"594","cloud","76.636092"
"595","cloud","74.009815"
"596","cloud","72.818057"
"597","cloud","66.440048"
"598","cloud","69.424292"
"599","cloud","99.35701"
"600","cloud","73.340783"
"601","cloud","69.931287"
"602","cloud","78.82272"
